Ref_Time	Buffalo_Ppl	All_Border
1995-1	916801	6876829
1995-2	939307	6373524
1995-3	1382944	7880110
1995-4	1265797	8084713
1995-5	1617913	9085618
1995-6	1737258	10257802
1995-7	1699290	11697667
1995-8	2734415	12840282
1995-9	1871366	10142039
1995-10	1585735	8976399
1995-11	102209	6496161
1995-12	1274646	7685412
1996-1	1023893	6748977
1996-2	1061208	7208820
1996-3	917993	7637265
1996-4	1457250	8547069
1996-5	1766865	9650715
1996-6	2002539	10775787
1996-7	2437112	12272924
1996-8	2590627	13261775
1996-9	1779002	10130907
1996-10	1612575	9370430
1996-11	1110445	7757188
1996-12	1468301	7831637
1997-1	1204649	6707245
1997-2	1263275	6799551
1997-3	1573792	8009341
1997-4	1580884	7121461
1997-5	1924058	9053411
1997-6	1930055	9634022
1997-7	2463224	11399217
1997-8	2753530	12081042
1997-9	1853066	9593473
1997-10	1814345	8468854
1997-11	1520872	7560510
1997-12	1412470	6969070
1998-1	1256547	6558223
1998-2	1273353	6626569
1998-3	1412874	7354373
1998-4	1555858	7994361
1998-5	1761850	8632939
1998-6	1902591	9012376
1998-7	2347042	11165898
1998-8	2364017	11362582
1998-9	1920526	8971894
1998-10	1700674	8017185
1998-11	1462209	7013248
1998-12	1445737	6658547
1999-1	1040496	6095108
1999-2	1234460	6493214
1999-3	1307137	7195683
1999-4	1317751	7377550
1999-5	1866364	10213884
1999-6	1957659	9509206
1999-7	2319487	11221244
1999-8	2501594	11636467
1999-9	1954003	9149427
1999-10	1747691	8345792
1999-11	1351000	7303602
1999-12	1271893	6849939
2000-1	1026933	6155593
2000-2	1167519	6326072
2000-3	1343117	7963743
2000-4	1428290	8316809
2000-5	1766545	9219641
2000-6	1957086	9642696
2000-7	2549361	11907988
2000-8	2603906	11730010
2000-9	1876286	9304042
2000-10	1625258	8327097
2000-11	1361301	7206423
2000-12	1323184	6722598
2001-1	1158533	6752394
2001-2	1153676	5829884
2001-3	1426732	7258895
2001-4	1571281	6928903
2001-5	1675966	7535870
2001-6	2082995	8496303
2001-7	2814987	10676943
2001-8	2952105	11006210
2001-9	1484914	6699940
2001-10	1281771	5606605
2001-11	1161700	5253834
2001-12	1017302	5162126
2002-1	1107676	5121880
2002-2	1215147	5056007
2002-3	1495130	6259106
2002-4	1551301	6178818
2002-5	1724607	6902206
2002-6	1891917	7432487
2002-7	2622814	9248326
2002-8	2829764	9879500
2002-9	1892906	7199003
2002-10	1686823	6716896
2002-11	1320688	5751373
2002-12	1323932	5706666
2003-1	927532	5205548
2003-2	999036	4846380
2003-3	1363496	5585980
2003-4	911957	4897112
2003-5	1319039	6008381
2003-6	1496865	6807654
2003-7	2022858	8312944
2003-8	2284602	8793200
2003-9	1451732	6541738
2003-10	1365378	6123500
2003-11	1141003	5391236
2003-12	1110717	5310859
2004-1	908856	4690303
2004-2	921063	4986488
2004-3	1143138	5691869
2004-4	1167132	5568642
2004-5	1370588	6330143
2004-6	1565644	6925835
2004-7	2104303	8727264
2004-8	2288386	8797916
2004-9	1438673	6559675
2004-10	1198470	6192832
2004-11	1092446	5494150
2004-12	972692	5148307
2005-1	810845	4756452
2005-2	855439	4801579
2005-3	1131264	5624941
2005-4	1102990	5529013
2005-5	1287874	6085110
2005-6	1554350	6733121
2005-7	2086492	8616143
2005-8	2161722	8497595
2005-9	1545619	6559749
2005-10	1321569	6090450
2005-11	1142325	5234672
2005-12	1139928	5452450
2006-1	986144	5126050
2006-2	909892	4696792
2006-3	1182563	5734846
2006-4	1255537	5887273
2006-5	1364260	6398313
2006-6	1365364	6694074
2006-7	2044344	8493203
2006-8	1872437	8230305
2006-9	1338227	6453432
2006-10	1258840	5874375
2006-11	1186535	5167977
2006-12	1137017	5156171
2007-1	907135	4119102
2007-2	799947	4149071
2007-3	1111435	5139514
2007-4	1146953	5100782
2007-5	1791304	6372632
2007-6	1910748	6383640
2007-7	1914655	7237811
2007-8	2150140	7740116
2007-9	1441672	6097936
2007-10	1399917	6172278
2007-11	1257226	5624030
2007-12	1088749	5108632
2008-1	894251	4622408
2008-2	778904	4364783
2008-3	1272575	5391289
2008-4	1035676	5078784
2008-5	1463446	6157550
2008-6	1291043	6183447
2008-7	1948336	7630016
2008-8	2257748	8204253
2008-9	1259812	5659158
2008-10	1277977	5452446
2008-11	1060961	4624327
2008-12	954503	4092533
2009-1	790334	3856543
2009-2	783100	3769766
2009-3	991819	4441937
2009-4	1024261	4602445
2009-5	1256302	5399565
2009-6	1107811	5172657
2009-7	1633318	6810388
2009-8	1899894	7399528
2009-9	1198114	5568580
2009-10	1109328	5177732
2009-11	1025500	4723711
2009-12	1000482	4727274
2010-1	778932	4124811
2010-2	740877	3927387
2010-3	1045221	4820437
2010-4	1061869	5037591
2010-5	1128640	5476698
2010-6	1162623	5711512
2010-7	1677716	7584454
2010-8	1744255	7647582
2010-9	1191660	5841930
2010-10	1170113	5563658
2010-11	1067635	4736549
2010-12	1082042	4861531
2011-1	799307	4081462
2011-2	791557	3946566
2011-3	1025936	4960200
2011-4	1112728	5208687
2011-5	1220417	5669658
2011-6	1280101	5971089
2011-7	1803848	7948885
2011-8	1802660	7888358
2011-9	1297568	5985881
2011-10	1215822	5629533
2011-11	1119509	5114053
